1.4182e-08+1.5535e-08i,-5.899e-08-7.5136e-08i,-1.3507e-07+5.2343e-08i,4.3926e-08-3.1929e-08i,-6.6538e-08-6.1627e-08i,4.197e-08-4.7195e-08i,-6.5524e-09+5.894e-08i,1.3338e-09+7.9359e-08i,1.6968e-08+5.0787e-08i,-4.9362e-08+7.2128e-08i,-1.1184e-07+3.9594e-08i,3.2898e-08-3.225e-10i,4.1893e-08+3.0988e-08i,2.8681e-08-6.4271e-08i,7.831e-09-7.9649e-08i,2.0571e-08+9.5097e-09i,-2.1004e-09-3.9867e-08i,-3.0802e-08+3.0481e-08i,1.103e-07+5.5535e-08i,1.9324e-08-5.3437e-08i,-4.4822e-08-2.6615e-08i,-5.2042e-08-3.4539e-08i,-1.2593e-08+1.7189e-08i,-1.6353e-08+6.1325e-08i,1.3596e-08+2.3748e-08i
-7.8966e-08+2.1834e-09i,4.0238e-08+5.9074e-08i,1.5118e-08+2.3727e-08i,4.4998e-08+6.0623e-08i,-6.109e-09+1.7902e-08i,6.4734e-08-5.2666e-08i,-6.0723e-09+4.9033e-08i,2.0849e-09+3.8609e-08i,8.5962e-08+2.0097e-09i,-4.1879e-08+4.5909e-08i,-6.7022e-09-2.7842e-08i,5.5514e-08+2.4555e-08i,5.8739e-08-6.5063e-08i,7.0469e-10-7.4159e-08i,-1.7031e-10-3.7028e-08i,-2.7511e-08-3.897e-08i,9.3789e-09-6.3014e-08i,-4.0295e-08+2.029e-08i,-7.6073e-09+6.6901e-08i,-1.4347e-08-6.4041e-09i,-4.1415e-09-1.4767e-09i,1.7634e-09-7.0457e-08i,4.4653e-08-1.9233e-08i,-6.9104e-08-2.3161e-08i,-1.6838e-08-2.141e-08i
-2.1222e-08+1.3114e-07i,9.1578e-08+1.0067e-07i,-1.2724e-08-2.3853e-08i,-7.194e-08-8.7197e-08i,4.0073e-09+4.4003e-08i,6.4813e-08-2.8647e-08i,4.3144e-08+2.7251e-08i,2.1036e-08+1.2514e-08i,2.6844e-08+3.4997e-08i,-9.2802e-09-1.1764e-08i,2.1558e-08-1.8427e-08i,-2.433e-08+7.9829e-08i,-5.0871e-08-2.6881e-08i,3.9292e-08+2.8024e-08i,-2.482e-09-1.7749e-08i,3.3301e-08+4.5488e-08i,5.0934e-08+6.7244e-08i,2.9364e-08+4.0179e-08i,1.3268e-08+3.6493e-08i,-1.1782e-08+2.4445e-08i,2.4187e-08+1.8013e-09i,-5.0573e-08-3.0087e-08i,6.0526e-08-6.7865e-09i,-8.9641e-09+4.0031e-08i,-1.8729e-08+9.1665e-08i
3.3945e-08+3.0255e-08i,6.3639e-08+3.7682e-08i,6.5229e-08+1.7049e-08i,9.4016e-08-1.2312e-08i,-9.9226e-08-3.0589e-08i,8.2743e-09-1.7535e-08i,8.7091e-08-2.6308e-09i,-5.208e-08-9.7675e-09i,4.7817e-09+2.9155e-08i,1.0641e-08+3.3865e-08i,1.329e-08-3.1541e-08i,-4.5736e-08-5.7268e-08i,1.0494e-08+1.2182e-07i,-3.5687e-08-6.0842e-08i,-3.2191e-08-2.7535e-08i,-1.3871e-08+3.1238e-08i,6.7419e-08+6.7236e-08i,-2.4597e-08-3.3161e-08i,9.2855e-09+1.3585e-08i,-1.2574e-08+1.5499e-08i,2.237e-08+2.0327e-08i,5.2476e-08-4.3929e-08i,-2.8034e-08-1.6405e-08i,-8.5728e-08-3.8689e-08i,7.5365e-08-1.0137e-08i
-3.5626e-08-1.8064e-09i,-3.8946e-08+4.7436e-08i,7.735e-10-4.8787e-08i,6.6118e-08-8.6846e-09i,1.9502e-08+2.05e-08i,-4.1548e-09+1.212e-08i,-4.7164e-08+4.7899e-08i,1.7548e-08+1.2101e-07i,6.9231e-08-9.2876e-08i,-4.9917e-08+3.1928e-08i,-2.3727e-08-4.3368e-08i,-1.4743e-08-8.4075e-08i,-9.7848e-08-1.0776e-07i,-2.9972e-08+9.7933e-09i,-1.0685e-08+4.0507e-08i,2.2496e-08-4.2451e-08i,7.0086e-08+4.47e-09i,-4.3214e-08-4.4089e-08i,2.356e-09-3.8118e-08i,-2.0272e-08-2.0164e-08i,-2.3306e-08-3.6313e-08i,5.8433e-08+7.3466e-08i,1.2142e-08-3.692e-10i,2.3198e-10+6.4512e-09i,-4.8759e-08+9.0544e-10i
3.1234e-08-4.395e-08i,3.8574e-08-4.3605e-08i,-6.6733e-08-9.0311e-08i,-9.0233e-09+3.9512e-08i,1.1245e-08-2.2618e-08i,7.3657e-08-6.4338e-08i,4.8282e-08+6.1846e-08i,-3.307e-08+1.4896e-08i,3.2207e-08-9.545e-08i,4.7324e-09-2.1135e-08i,1.4537e-08+5.2973e-08i,-3.849e-09+5.3091e-09i,1.4024e-08-5.9343e-08i,-2.5463e-08+5.8952e-09i,-4.2604e-08+3.6891e-08i,8.6346e-08-1.2301e-08i,2.3138e-08+1.5629e-08i,7.0958e-08+8.8598e-08i,2.8928e-08+7.6331e-08i,5.3093e-08+6.0438e-08i,-3.6732e-08+7.8175e-08i,4.5915e-08-5.3619e-08i,1.7782e-09+8.0373e-09i,2.5944e-08+6.8824e-08i,-2.9247e-08-5.449e-08i
-5.3794e-08-4.1146e-08i,2.3046e-08+4.7284e-08i,-6.828e-09+1.0334e-08i,8.2131e-08-3.3642e-08i,8.5511e-09-4.4891e-08i,1.821e-08-1.1917e-08i,7.276e-09-1.5809e-09i,-3.5072e-08-6.5418e-08i,3.5002e-08-1.1921e-08i,8.7549e-08-2.4586e-08i,1.3569e-08+9.0347e-09i,4.4684e-09-2.9585e-09i,9.6435e-08+4.307e-08i,2.7208e-08-3.2189e-08i,6.4641e-08+5.517e-08i,2.8983e-09-2.6444e-08i,-2.1079e-08-1.2851e-09i,5.2211e-08+6.6699e-08i,2.867e-08-4.2808e-08i,-2.0843e-08-6.5878e-08i,-2.657e-08+4.3368e-08i,1.9517e-08+3.51e-08i,6.2548e-08-2.102e-08i,-1.0726e-07-8.8143e-08i,-6.1191e-08+1.9449e-08i
-6.8691e-08-3.227e-08i,5.9056e-08+2.0574e-08i,7.5672e-09-8.5786e-09i,-1.3056e-08-4.5745e-08i,-5.6702e-08+1.2815e-08i,6.7208e-08-3.0782e-08i,3.644e-08-5.0126e-08i,3.1216e-08-7.8989e-09i,-4.9026e-08+7.7386e-09i,-1.387e-08-7.1147e-08i,1.5095e-08+4.4707e-08i,6.2116e-08-9.9521e-08i,1.0299e-08-3.1106e-08i,-4.7431e-08-1.4981e-08i,-3.9338e-08+1.5656e-08i,4.4506e-08-5.1072e-08i,1.5574e-08+4.1806e-08i,-4.7118e-08+2.6275e-08i,7.1655e-08-1.0706e-07i,-7.4593e-08+4.2513e-08i,-1.9369e-08+1.3511e-08i,7.126e-08-2.4697e-08i,-4.9369e-09+7.4503e-09i,-2.4556e-10-4.4802e-08i,1.1095e-09-2.9111e-08i
6.1061e-09-1.3941e-08i,-4.5861e-09-6.6826e-08i,-4.8833e-08+4.7391e-08i,5.3478e-08-5.4559e-08i,-3.4272e-08+5.2574e-08i,1.9087e-08+1.4418e-08i,7.1218e-08-8.3705e-09i,1.4668e-08+7.0227e-08i,1.8529e-09-3.3066e-08i,-5.6388e-08+1.3399e-08i,-4.0743e-08+7.2207e-08i,-5.592e-08+8.8938e-08i,3.3211e-08+3.6601e-08i,-2.4868e-08+4.0166e-08i,1.4597e-08-1.3097e-07i,-1.3388e-08+1.5206e-08i,-3.1453e-08-6.5295e-08i,-4.2917e-08+6.4699e-09i,2.0146e-08+1.1319e-08i,4.5302e-08-1.9462e-08i,2.979e-08-5.1213e-09i,7.0125e-09-4.4867e-08i,-4.2292e-08+9.3304e-09i,-5.9175e-08-8.0507e-08i,-1.9416e-08-7.3383e-08i
9.1821e-08+2.3048e-08i,2.8171e-08-1.9222e-08i,7.4846e-08+7.6327e-09i,-1.3967e-10-9.1413e-09i,-3.2412e-08+6.8096e-08i,-3.8002e-08-1.0082e-08i,-2.481e-08-5.6208e-08i,1.1111e-08-1.9507e-08i,3.9609e-08+2.7941e-10i,-7.6116e-08+2.192e-09i,-4.9371e-09+6.9707e-08i,5.1083e-08+1.7865e-08i,2.9839e-08+3.1733e-08i,-2.331e-08-3.4486e-08i,3.9526e-08+1.4088e-08i,-1.1644e-08+1.7939e-08i,-2.3959e-08+3.9066e-08i,3.7216e-08-5.9301e-08i,3.7992e-08-1.785e-08i,4.6004e-08-2.4636e-08i,5.8172e-08+1.4316e-09i,1.7723e-08+4.4558e-09i,2.7012e-08-2.2947e-09i,1.0529e-08-3.8167e-08i,-3.9214e-08-6.5699e-08i
-1.5198e-08+3.9076e-08i,-4.1784e-10+2.1551e-08i,-3.8023e-08-3.5353e-08i,3.5791e-08+5.1496e-08i,-4.5779e-08-8.3919e-09i,5.6241e-08-6.8896e-08i,2.9343e-08-1.4936e-08i,7.3216e-09-1.3615e-07i,1.3632e-08-5.4361e-08i,-1.8212e-09+1.5249e-08i,-7.0457e-08-2.7997e-08i,-6.2437e-08-3.8476e-08i,-1.5512e-08+6.9649e-08i,-1.2678e-08+6.1932e-08i,-5.3559e-08+2.4464e-08i,4.8364e-08+3.5742e-08i,-4.4209e-08+2.6155e-08i,7.2944e-08-6.245e-08i,3.3931e-08+1.0777e-08i,-2.3479e-08-1.1727e-08i,-3.1058e-08-1.0843e-07i,-8.9632e-08+2.3492e-08i,2.524e-08-1.8104e-08i,2.514e-08-1.722e-08i,4.4532e-08+7.1601e-08i
